container	id	weight	maxWeight	totalWeight	length	width	height	itemTransported

Reefer20Container	0	2905	27420	26824.337	5.535	2.284	2.224	Fries
HC40Container	1	4010	28490	23452.036	12.032	2.35	2.7	Flower pot
HardTop20Container	2	2590	27780	21108.7	5.886	2.342	2.375	Desk
DV20Container	3	2370	28230	14121.036	5.9	2.35	2.395	Shampoo
DV20Container	4	2370	28230	18162.541	5.9	2.35	2.395	Headphones
Tank20Container	5	3385	32580	24121.986	6.058	2.438	2.591	Oil
HardTop20Container	6	2590	27780	20358.23	5.886	2.342	2.375	Desk
Reefer20Container	7	2905	27420	16399.108	5.535	2.284	2.224	Ice Cream
Reefer20Container	8	2905	27420	20692.355	5.535	2.284	2.224	Steak
Tank20Container	9	3385	32580	32073.314	6.058	2.438	2.591	Apple juice
HardTop20Container	10	2590	27780	26506.628	5.886	2.342	2.375	Bicycle
HC40Container	11	4010	28490	20355.571	12.032	2.35	2.7	Lamp
Tank20Container	12	3385	32580	17899.973	6.058	2.438	2.591	Apple juice
DV20Container	13	2370	28230	27262.219	5.9	2.35	2.395	Cleaning agent
HC40Container	14	4010	28490	6327.954	12.032	2.35	2.7	Lamp
HardTop20Container	15	2590	27780	21576.215	5.886	2.342	2.375	Laptop
Reefer20Container	16	2905	27420	13366.544	5.535	2.284	2.224	Fries
HC40Container	17	4010	28490	22926.279	12.032	2.35	2.7	Flower pot
DV20Container	18	2370	28230	7520.322	5.9	2.35	2.395	Cleaning agent
Reefer20Container	19	2905	27420	19364.391	5.535	2.284	2.224	Fries
DV20Container	20	2370	28230	23886.28	5.9	2.35	2.395	Shampoo
HardTop20Container	21	2590	27780	15270.456	5.886	2.342	2.375	Laptop
DV20Container	22	2370	28230	7729.485	5.9	2.35	2.395	Shampoo
Tank20Container	23	3385	32580	27081.96	6.058	2.438	2.591	Apple juice
DV20Container	24	2370	28230	16197.537	5.9	2.35	2.395	Headphones
HC40Container	25	4010	28490	23526.983	12.032	2.35	2.7	Jeans
HC40Container	26	4010	28490	13425.034	12.032	2.35	2.7	Flower pot
