id	position	totalWeight	itemTransported

2309	010000	32569.687	Apple juice
14377	010100	32555.697	Water
8814	010200	32552.603	Water
14042	010300	32543.413	Oil
11240	010400	32525.991	Water
4965	010500	32511.77	Oil
1553	010600	32475.631	Milk
4662	010700	32441.121	Milk
5133	010800	32413.026	Apple juice
5805	010900	32402.301	Water
3552	011000	32401.729	Water
11120	011100	32400.669	Oil
11096	011200	32377.8	Water
12893	011300	32374.114	Apple juice
13255	011400	32364.282	Water
1378	030000	32345.118	Milk
5039	030100	32338.623	Milk
2055	030200	32316.701	Apple juice
5759	030300	32314.244	Milk
3221	030400	32306.435	Water
8908	030500	32305.732	Apple juice
11114	030600	32300.703	Milk
13112	030700	32298.61	Oil
3242	030800	32288.991	Apple juice
8170	030900	32285.278	Milk
7678	031000	32279.517	Apple juice
444	031100	32278.278	Apple juice
6798	031200	32255.781	Milk
1521	031300	32253.271	Milk
10793	031400	32249.197	Milk
9592	050000	32204.566	Oil
2507	050100	32199.506	Oil
3130	050200	32194.546	Oil
11560	050300	32186.148	Oil
1136	050400	32144.511	Apple juice
11986	050500	32130.858	Milk
11643	050600	32130.463	Apple juice
5873	050700	32124.483	Water
11027	050800	32118.231	Apple juice
14553	050900	32117.063	Water
11852	051000	32114.454	Apple juice
6361	051100	32108.102	Oil
4311	051200	32104.027	Apple juice
650	051300	32097.01	Oil
1215	051400	32088.883	Milk
2160	070000	32087.157	Water
3187	070100	32077.128	Milk
12047	070200	32076.915	Oil
9	070300	32073.314	Apple juice
7674	070400	32064.258	Milk
10437	070500	32056.202	Water
1006	070600	32052.082	Water
6977	070700	32045.587	Oil
750	070800	32026.783	Milk
1352	070900	32016.77	Water
9119	071000	32016.401	Apple juice
13313	071100	32007.401	Apple juice
9251	071200	31997.015	Milk
6437	071300	31988.122	Oil
13768	071400	31983.852	Water
590	090000	31969.787	Water
7557	090100	31947.148	Milk
5047	090200	31936.169	Oil
3679	090300	31934.114	Apple juice
1986	090400	31932.206	Milk
11143	090500	31927.638	Milk
10060	090600	31926.586	Oil
12625	090700	31921.098	Oil
11999	090800	31920.878	Oil
5947	090900	31906.707	Water
3850	091000	31906.139	Water
5192	091100	31896.198	Water
7707	091200	31893.201	Apple juice
558	091300	31893.196	Water
3510	091400	31892.687	Water
6995	110000	31869.697	Milk
6542	110100	31831.94	Milk
5413	110200	31822.391	Milk
8335	110300	31783.762	Milk
6236	110400	31750.509	Milk
115	110500	31745.951	Oil
5764	110600	31743.307	Oil
13105	110700	31736.85	Oil
6987	110800	31727.355	Oil
12903	110900	31717.583	Apple juice
7244	111000	31716.038	Milk
8434	111100	31708.275	Milk
9220	111200	31706.255	Water
6663	111300	31705.933	Oil
14347	111400	31702.798	Water
2689	130000	31698.926	Apple juice
6146	130100	31692.609	Milk
7991	130200	31690.017	Milk
12683	130300	31681.993	Apple juice
10772	130400	31681.217	Apple juice
11169	130500	31680.189	Milk
260	130600	31679.726	Water
2608	130700	31676.188	Water
6598	130800	31644.63	Oil
14771	130900	31631.385	Apple juice
14863	131000	31581.405	Apple juice
1772	131100	31580.414	Oil
10363	131200	31579.728	Water
9601	131300	31574.868	Water
692	131400	31573.556	Oil
5891	150000	31572.632	Oil
14744	150100	31534.666	Apple juice
3820	150200	31519.194	Apple juice
4955	150300	31486.568	Water
8348	150400	31474.431	Water
13159	150500	31466.718	Water
4315	150600	31465.241	Water
14071	150700	31461.798	Apple juice
12918	150800	31453.312	Milk
6622	150900	31396.498	Water
10322	151000	31383.828	Water
12834	151100	31381.219	Apple juice
7148	151200	31374.925	Apple juice
3826	151300	31368.565	Oil
14529	151400	31343.673	Apple juice
193	170000	31309.894	Water
11312	170100	31304.754	Apple juice
13110	170200	31273.781	Apple juice
13542	170300	31264.256	Milk
5268	170400	31263.223	Oil
3898	170500	31256.484	Milk
10331	170600	31250.339	Water
13382	170700	31246.182	Oil
7563	170800	31239.539	Oil
13740	170900	31230.463	Apple juice
7031	171000	31229.544	Milk
7969	171100	31216.641	Oil
5783	171200	31193.597	Oil
12723	171300	31192.619	Apple juice
2578	171400	31186.706	Milk
11026	190000	31185.477	Milk
97	190100	31183.41	Apple juice
521	190200	31179.286	Oil
334	190300	31164.539	Milk
9762	190400	31147.315	Oil
991	190500	31126.442	Oil
9586	190600	31120.886	Milk
12679	190700	31105.354	Milk
9882	190800	31101.654	Oil
8598	190900	31065.226	Oil
11357	191000	31043.221	Oil
13062	191100	31024.591	Water
11503	191200	31009.479	Milk
3776	191300	31004.393	Apple juice
9432	191400	31003.688	Oil
12651	210000	30992.34	Milk
3170	210100	30975.054	Apple juice
1507	210200	30973.258	Apple juice
1903	210300	30959.908	Apple juice
6143	210400	30953.555	Milk
10909	210500	30951.041	Apple juice
4205	210600	30945.284	Apple juice
13061	210700	30908.219	Water
11524	210800	30894.332	Milk
5852	210900	30891.965	Oil
9837	211000	30887.84	Apple juice
10495	211100	30886.433	Water
3228	211200	30885.464	Water
13683	211300	30865.636	Milk
624	211400	30848.521	Water
2157	230000	30839.062	Milk
9609	230100	30834.257	Oil
8354	230200	30833.588	Apple juice
10808	230300	30812.418	Milk
7113	230400	30797.394	Water
13458	230500	30778.969	Apple juice
12069	230600	30768.228	Oil
778	230700	30755.044	Water
8072	230800	30743.088	Apple juice
1567	230900	30740.92	Milk
3369	231000	30690.612	Apple juice
12209	231100	30688.357	Oil
1865	231200	30666.223	Apple juice
8810	231300	30638.582	Oil
8276	231400	30635.296	Water
14083	250000	30627.323	Apple juice
1003	250100	30626.335	Milk
7285	250200	30623.117	Water
12119	250300	30600.595	Milk
4675	250400	30582.329	Water
